flight_id,source_city_id,destination_city_id,airline_id
1001,1,2,1
1002,2,1,1
1003,1,4,1
1004,4,1,1
1005,1,3,2
1006,3,1,2
1007,2,5,2
1008,5,2,2
1009,2,6,2
1010,6,2,2
1011,4,5,4
1012,5,4,4
1013,5,7,3
1014,7,5,3
1015,6,9,4
1016,9,6,4
1017,7,8,3
1018,8,7,3
1019,7,10,3
1020,10,7,3
1021,8,13,5
1022,13,8,5
1023,9,10,4
1024,10,9,4
1025,10,11,3
1026,11,10,3
1027,11,12,5
1028,12,11,5
1029,12,14,5
1030,14,12,5
1031,13,14,5
1032,14,13,5
1033,13,15,5
1034,15,13,5
1035,2,7,3
1036,7,2,3
1037,3,2,2
1038,2,3,2
1039,6,5,4
1040,5,6,4
1041,9,7,4
1042,7,9,4
